dataset,iteration,total_tasks,makespan,throughput,total_cpu_time,total_wait_time,avg_start_time,avg_exec_time,avg_finish_time,avg_wait_time,imbalance_degree,resource_utilization
Random_Simple_Dataset,7,50,62.5,0.8,763.8400000000111,905.2060000000183,18.1063522,15.276800000000222,33.38207114,18.104120000000368,2.220344574780061,0.8147626666666785
Random_Simple_Dataset,8,49,65.125,0.7523992322456814,769.0960000000141,1072.4620000000268,21.88931569387755,15.695836734694165,37.58527532653061,21.88697959183728,1.515786065718705,0.7873023672424968
Random_Simple_Dataset,9,49,68.46800000000076,0.7156627913769857,735.0740000000042,900.5630000000056,18.378644857142856,15.001510204081718,33.37897651020408,18.37883673469399,2.2019823854469185,0.7157348445015638
Random_Simple_Dataset,10,50,67.76600000000144,0.7378331316589283,844.405999999999,1071.1989999999732,21.43500256,16.88811999999998,38.32308326,21.423979999999464,2.1320502222864626,0.8307076311621178
Stratified_Random_Dataset,1,249,59.5,4.184873949579832,730.1420000000053,5919.830999999829,23.786395759036143,2.932297188755041,26.718635305220882,23.7744216867463,2.538985567191031,0.8180862745098099
Stratified_Random_Dataset,2,250,62.78099999999904,3.9820964941623074,831.7139999999999,7929.482000000167,31.752231988,3.326856,35.079715027999995,31.71792800000067,2.2364081883916604,0.8831907742788557
Stratified_Random_Dataset,3,250,228.59300000000076,1.0936467870844653,981.3990000000067,7160.484000000024,28.646163084,3.9255960000000267,32.571799876,28.641936000000097,1.2572501092827764,0.28621436351944385
Stratified_Random_Dataset,4,249,82.54700000000048,3.016463348153156,641.7690000000148,5378.41900000018,21.602556771084338,2.577385542168734,24.180150068273093,21.600076305221606,2.148168577790454,0.5183059348007891
Stratified_Random_Dataset,5,249,101.8119999999999,2.4456842022551393,661.2489999999925,5702.001999999833,22.902172542168675,2.655618473895552,25.5573654497992,22.899606425702142,2.0992515678662733,0.4329869432548836
Stratified_Random_Dataset,6,249,84.45399999999972,2.94835058138159,647.9690000000028,5329.794000000056,21.413426048192772,2.6022851405622602,24.015781172690765,21.404795180723116,1.9440497925055216,0.5114965938064941
Stratified_Random_Dataset,7,250,48.0,5.208333333333333,658.1139999999941,5645.833999999861,22.586682508000003,2.6324559999999764,25.218915232,22.58333599999944,1.996821219423984,0.914047222222214
Stratified_Random_Dataset,8,250,75.1869999999999,3.325042893053325,695.0010000000002,5924.3839999998545,23.711525203999997,2.780004000000001,26.491504044,23.697535999999417,1.9814820410330516,0.6162421695239879
Stratified_Random_Dataset,9,250,142.04700000000048,1.7599808514083308,741.9330000000045,6168.817000000023,24.686871628000006,2.967732000000018,27.654267683999997,24.67526800000009,1.80676152698424,0.3482100994741187
Stratified_Random_Dataset,10,249,93.92199999999866,2.6511360490620253,652.444999999987,6145.7859999998545,24.683484180722893,2.6202610441766545,27.303848056224904,24.68187148594319,2.232586654813837,0.4631112341446422
Low-High_Dataset,AVERAGE,29,100.76900000000005,0.33815285613804247,594.559699999998,264.63419999999843,9.130331748275863,20.502058620689585,29.63222372413793,9.125317241379257,1.616362905535075,0.4571425618570052
Random_Simple_Dataset,AVERAGE,48,78.20000000000019,0.7062063295499742,771.1799000000026,940.3642000000011,19.038105389579933,15.605216947278965,34.64299783310374,19.033600399659882,1.9248277783301493,0.7383444387012474
Stratified_Random_Dataset,AVERAGE,249,97.8842999999999,3.0615608489473507,724.1735000000008,6130.483299999968,24.577150971320485,2.9020491389558267,27.479198191620885,24.567677508433608,2.024176524528283,0.579189160953524
