index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm3,0.0,-1.0,21.070528,0.0
1,task-5-1,vm2,0.00465,-1.0,21.052632,0.0
2,task-8-2,vm4,0.013058,-1.0,21.070528,0.0
3,task-2-3,vm4,0.014605,-1.0,21.070528,0.0
4,task-10-4,vm3,0.015137,-1.0,21.071531,0.0
5,task-3-5,vm3,0.015663,-1.0,21.069433,0.0
6,task-4-6,vm2,0.016179,-1.0,21.069433,0.0
7,task-4-7,vm3,0.016179,-1.0,21.053638,0.0
12,task-7-12,vm1,0.016697,-1.0,21.070528,0.0
15,task-8-15,vm4,0.016697,-1.0,21.052632,0.0
18,task-6-18,vm4,0.018225,-1.0,21.071531,0.0
23,task-2-23,vm4,0.018225,-1.0,21.071531,0.0
24,task-10-24,vm4,0.019775,-1.0,21.071531,0.0
25,task-3-25,vm4,0.019775,-1.0,21.069433,0.0
26,task-4-26,vm4,0.019775,-1.0,21.071531,0.0
28,task-7-28,vm4,21.053638,-1.0,42.110744,21.031999999999243
8,task-7-8,vm3,21.054163,-1.0,42.110744,21.04700000000048
9,task-3-9,vm2,21.054163,-1.0,42.110744,21.04700000000048
33,task-9-33,vm4,21.071531,-1.0,42.128068,21.063000000000102
10,task-9-10,vm3,21.072875,-1.0,42.13267,21.063000000000102
11,task-1-11,vm2,21.072875,-1.0,42.130584,21.063000000000102
16,task-2-16,vm3,21.072875,-1.0,42.127068,21.063000000000102
34,task-1-34,vm4,21.072875,-1.0,42.13167,21.063000000000102
13,task-9-13,vm1,21.074383,-1.0,42.128575,21.063000000000102
19,task-10-19,vm3,21.074383,-1.0,42.130584,21.063000000000102
35,task-8-35,vm4,21.074383,-1.0,42.13167,21.063000000000102
36,task-2-36,vm4,21.074383,-1.0,42.128068,21.063000000000102
37,task-5-37,vm4,21.075559,-1.0,42.13167,21.063000000000102
38,task-6-38,vm4,21.075559,-1.0,42.127068,21.063000000000102
42,task-5-42,vm4,21.076581,-1.0,42.13267,21.063000000000102
14,task-1-14,vm2,42.110744,-1.0,63.163156,42.09399999999914
43,task-6-43,vm4,42.110744,-1.0,63.147254,42.09399999999914
21,task-5-21,vm3,42.112235,-1.0,63.146745,42.09399999999914
46,task-4-46,vm4,42.128575,-1.0,63.170699,42.11000000000058
30,task-9-30,vm3,42.129585,-1.0,63.169196,42.11000000000058
47,task-9-47,vm4,42.129585,-1.0,63.170699,42.11000000000058
49,task-7-49,vm4,42.130584,-1.0,63.174288,42.11000000000058
17,task-5-17,vm2,42.13367,-1.0,63.173124,42.125
31,task-1-31,vm3,42.13467,-1.0,63.17529,42.125
39,task-2-39,vm3,42.13467,-1.0,63.174288,42.125
44,task-1-44,vm3,63.147254,-1.0,84.200235,63.125
20,task-6-20,vm2,63.163156,-1.0,84.216722,63.14099999999962
45,task-3-45,vm3,63.17529,-1.0,84.231413,63.15699999999924
22,task-8-22,vm2,63.17629,-1.0,84.231413,63.15699999999924
48,task-6-48,vm3,63.17629,-1.0,84.231413,63.15699999999924
27,task-4-27,vm2,84.216722,3.5,87.72261,84.20399999999972
29,task-3-29,vm2,84.232844,5.375,89.607074,84.21899999999914
32,task-7-32,vm2,87.72261,12.07799999999952,99.796001,87.70399999999972
40,task-3-40,vm2,89.607074,12.078000000001339,101.693238,89.59399999999914
41,task-4-41,vm2,99.796542,5.25,105.044627,99.78199999999924
