index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm1,0.0,81.78100000000268,81.768144,0.0
1,task-5-1,vm2,0.0,5.734000000000378,5.726009,0.0
2,task-8-2,vm3,0.001533,9.14100000000326,9.154542,0.0
3,task-2-3,vm4,0.001533,0.375,0.389985,0.0
5,task-3-5,vm2,0.001533,7.782000000002881,7.791927,0.0
6,task-4-6,vm3,0.003541,1.9070000000028813,1.910044,0.0
7,task-4-7,vm4,0.003541,1.4070000000028813,1.421764,0.0
10,task-9-10,vm3,0.004542,18.204000000001543,18.217038,0.0
11,task-1-11,vm4,0.004542,1.75,1.765147,0.0
14,task-1-14,vm3,0.00605,18.34400000000096,18.349707,0.0
15,task-8-15,vm4,0.007061,5.672000000002299,5.681264,0.0
19,task-10-19,vm4,0.007572,12.704000000001543,12.70774,0.0
23,task-2-23,vm4,0.00858,1.6570000000028813,1.669532,0.0
27,task-4-27,vm4,0.00858,6.7040000000015425,6.710855,0.0
31,task-1-31,vm4,0.00858,1.8440000000009604,1.857371,0.0
35,task-8-35,vm4,0.389985,16.18800000000192,16.575015,0.375
39,task-2-39,vm4,1.421764,15.421999999998661,16.833469,1.4070000000028813
43,task-6-43,vm4,1.669532,17.3279999999977,18.989051,1.6570000000028813
47,task-9-47,vm4,1.765147,22.06300000000192,23.819036,1.75
18,task-6-18,vm3,1.910044,20.54699999999866,22.457184,1.9070000000028813
9,task-3-9,vm2,5.726009,4.09400000000096,9.822702,5.71900000000096
13,task-9-13,vm2,7.791927,20.34299999999712,28.140042,7.782000000002881
22,task-8-22,vm3,9.155546,20.48399999999674,29.634135,9.14100000000326
17,task-5-17,vm2,9.822702,24.0,33.823898,9.81300000000192
26,task-4-26,vm3,18.217038,13.234000000000378,31.45125,18.204000000001543
30,task-9-30,vm3,18.349707,22.31300000000192,40.670591,18.34400000000096
34,task-1-34,vm3,22.457184,18.343000000000757,40.810679,22.454000000001543
21,task-5-21,vm2,28.140042,11.31300000000192,39.445679,28.125
38,task-6-38,vm3,29.635615,15.610000000000582,45.242464,29.625
42,task-5-42,vm3,31.452227,16.875,48.320986,31.43800000000192
25,task-3-25,vm2,33.825078,7.686999999998079,41.503244,33.81300000000192
29,task-3-29,vm2,39.445679,4.09400000000096,43.54138,39.43800000000192
46,task-4-46,vm3,40.670591,9.65599999999904,50.314741,40.65700000000288
33,task-9-33,vm2,41.503244,19.56300000000192,61.067391,41.5
37,task-5-37,vm2,43.54138,22.73400000000038,66.274658,43.53200000000288
41,task-4-41,vm2,61.068389,8.546999999998661,69.625834,61.06300000000192
45,task-3-45,vm2,66.274658,5.23399999999674,71.502331,66.26600000000326
49,task-7-49,vm2,69.625834,12.078000000001339,81.696822,69.61000000000058
4,task-10-4,vm1,81.769401,-1.0,112.875265,81.76600000000326
8,task-7-8,vm1,112.876773,-1.0,167.285612,112.86000000000058
12,task-7-12,vm1,167.286611,-1.0,230.831778,167.28200000000288
16,task-2-16,vm1,230.831778,32.98400000000038,263.81772,230.82900000000154
20,task-6-20,vm1,263.81772,-1.0,295.479884,263.8130000000019
24,task-10-24,vm1,295.480887,-1.0,373.475781,295.46900000000096
28,task-7-28,vm1,373.475781,-1.0,450.163249,373.46900000000096
32,task-7-32,vm1,450.163249,-1.0,522.904132,450.1570000000029
36,task-2-36,vm1,522.904132,22.437999999998283,545.339896,522.8910000000033
40,task-3-40,vm1,545.339896,14.109000000000378,559.451913,545.3290000000015
44,task-1-44,vm1,559.453009,2.0469999999986612,561.496822,559.4380000000019
48,task-6-48,vm1,561.496822,-1.0,611.444355,561.4850000000006
