dataset,iteration,total_tasks,makespan,throughput,total_cpu_time,total_wait_time,avg_start_time,avg_exec_time,avg_finish_time,avg_wait_time,imbalance_degree,resource_utilization
Low-High_Dataset,1,28,63.43800000000192,0.4413758315205264,476.0030000000115,183.7660000000178,6.568482285714285,17.000107142857555,23.56474825,6.563071428572065,1.2635529608006633,0.5002290950744529
Low-High_Dataset,2,28,134.98400000000038,0.20743199193978487,495.0609999999906,129.84699999999066,4.642900892857142,17.680749999999666,22.32466967857143,4.637392857142523,1.1937922801432337,0.24450354609928546
Low-High_Dataset,3,28,136.10899999999674,0.2057174764343333,474.87199999998484,169.495999999981,6.061145571428571,16.959714285713744,23.022553428571428,6.053428571427893,1.2587476204114096,0.2325939749269562
Low-High_Dataset,4,28,109.71900000000096,0.25519736782143254,475.81500000000597,135.22099999998682,4.836525321428573,16.99339285714307,21.82951392857143,4.829321428570958,1.257255445919064,0.28911127516656293
Low-High_Dataset,5,28,144.98400000000038,0.19312475859405126,470.6830000000082,139.73100000001796,4.99406625,16.810107142857436,21.803623749999996,4.990392857143498,1.2600964980677334,0.21642985892696526
Low-High_Dataset,6,28,168.51499999999942,0.16615731537251935,483.71700000001874,162.30900000001566,5.7995975714285715,17.27560714285781,23.07415157142857,5.796750000000559,1.2413622014525156,0.1913645669525049
Low-High_Dataset,7,28,183.35899999999674,0.15270589390212913,479.811999999969,146.5619999999799,5.235787642857142,17.13614285714175,22.369643285714286,5.234357142856425,1.2139504639316883,0.17445266753562774
Low-High_Dataset,8,28,154.76599999999962,0.18091828954680012,491.4859999999753,148.8939999999784,5.320368678571429,17.553071428570547,22.874190821428574,5.3176428571420855,1.2604631668043187,0.2117114439433194
Low-High_Dataset,9,28,161.56199999999808,0.17330807987026858,479.3299999999872,152.12899999999718,5.4374967142857145,17.118928571428114,22.55804635714285,5.433178571428471,1.1997371330815714,0.19778990934336577
Low-High_Dataset,10,28,129.9220000000023,0.2155139237388549,475.6420000000144,137.13700000002063,4.904863964285715,16.9872142857148,21.894075285714283,4.897750000000737,1.2217424028996327,0.2440654136071417
Random_Simple_Dataset,1,48,178.34399999999732,0.269142780244924,779.2319999999818,870.0709999999672,18.137328895833335,16.23399999999962,34.370944125,18.126479166665984,1.522401544084435,0.29128425963306626
Random_Simple_Dataset,2,47,186.625,0.25184192900200936,738.0370000000221,867.4070000000647,18.45963844680851,15.702914893617491,34.164201,18.45546808510776,1.6553370630470197,0.26364349185086744
Random_Simple_Dataset,3,47,171.06299999999828,0.2747525765361327,719.2519999999822,869.1049999999632,18.500467063829788,15.303234042552813,33.80203034042553,18.49159574468007,1.8242006973911598,0.28030686550178957
Random_Simple_Dataset,4,48,146.81300000000192,0.3269465238091952,733.1430000000109,832.2260000000133,17.343650812499998,15.273812500000227,32.617936229166666,17.338041666666943,1.617108804148729,0.3329146601459005
Random_Simple_Dataset,5,48,211.67199999999866,0.2267659397558501,781.7999999999847,867.4009999999726,18.074842708333332,16.28749999999968,34.36261035416667,18.070854166666095,1.4938296239447397,0.24623001625155577
Random_Simple_Dataset,6,49,65.1720000000023,0.7518566255446859,694.6720000000096,763.1670000000413,15.585957653061223,14.17697959183693,29.762601326530614,15.57483673469472,2.0261360757306974,0.7106037357556262
Random_Simple_Dataset,7,47,157.42199999999866,0.2985605569742501,721.7289999999884,808.9419999999627,17.214323212765958,15.35593617021252,32.569864872340425,17.211531914892824,1.7754032330694651,0.3056451237226455
Random_Simple_Dataset,8,48,144.67099999999846,0.33178729669388135,745.8400000000074,830.9850000000079,17.319921166666663,15.538333333333489,32.857064,17.312187500000164,1.6240802316850882,0.3436947741196763
Random_Simple_Dataset,9,48,184.51600000000326,0.26014004205596886,775.7689999999857,849.8019999999597,17.71136272916667,16.16185416666637,33.87378727083333,17.70420833333249,1.5151262811480863,0.2802896948412683
Random_Simple_Dataset,10,48,167.7029999999977,0.2862202822847573,771.4509999999755,886.1939999999631,18.473738333333333,16.07189583333282,34.545797291666666,18.46237499999923,1.5306325353133232,0.3066735041511824
Stratified_Random_Dataset,1,248,206.28100000000268,1.2022435415767656,630.4510000000155,6512.52100000027,26.259483290322578,2.5421411290323204,28.80101389516129,26.260165322581734,1.2459207773482692,0.2037515169437183
Stratified_Random_Dataset,2,248,215.79699999999866,1.149228209845371,637.7819999999956,6522.1019999999335,26.303524842741933,2.571701612903208,28.87524918951613,26.298798387096507,1.2399471919872718,0.19703146939021382
Stratified_Random_Dataset,3,248,219.95300000000134,1.1275136051792813,639.4210000000021,6785.58900000024,27.373799302419354,2.5783104838709763,29.952073395161293,27.361245967742903,1.2321709796832068,0.1938053432627268
Stratified_Random_Dataset,4,248,221.43699999999808,1.1199573693646596,639.9990000000034,6787.763000000035,27.38207591532258,2.580641129032272,29.96268655645161,27.370012096774335,1.230845673196366,0.19268053667634857
Stratified_Random_Dataset,5,248,225.29699999999866,1.1007692068691615,652.5289999999732,6914.321999999716,27.89157389919355,2.631165322580537,30.522601181451613,27.880330645160146,1.2044276959338018,0.1930870510185746
Stratified_Random_Dataset,6,248,206.53099999999904,1.200788259389637,630.1660000000011,6598.731000000178,26.619067483870968,2.5409919354838753,29.159781161290326,26.607786290323297,1.272864610277258,0.2034128855555192
Stratified_Random_Dataset,7,248,170.7970000000023,1.4520161361147834,595.3620000000192,5802.464000000418,23.40676840725806,2.4006532258065287,25.80760131451613,23.397032258066204,1.3625189380579246,0.2323858147391391
