dataset,iteration,total_tasks,makespan,throughput,total_cpu_time,total_wait_time,avg_start_time,avg_exec_time,avg_finish_time,avg_wait_time,imbalance_degree,resource_utilization
Low-High_Dataset,1,28,96.70399999999972,0.2895433487756461,570.6319999999978,311.77000000000044,11.137732107142856,20.379714285714208,31.515487714285715,11.134642857142873,1.8487221186333733,0.3933873814251044
Low-High_Dataset,2,29,67.53099999999904,0.42943240881965933,533.4809999999925,220.96599999998762,7.622061103448276,18.39589655172388,26.016646241379313,7.619517241378883,1.8340446988739976,0.5266529445736033
Low-High_Dataset,3,29,82.125,0.3531202435312024,591.9899999999907,316.5349999999871,10.91810303448276,20.413448275861747,31.333987931034486,10.914999999999555,0.5034460041554802,0.48056012176559365
Low-High_Dataset,4,29,232.15600000000086,0.12491600475542261,626.0400000000027,264.5110000000004,9.12533775862069,21.587586206896646,30.715032034482757,9.121068965517257,1.1246054565203494,0.17977566808525314
Low-High_Dataset,5,29,324.1880000000001,0.08945426727701207,745.0020000000059,852.8600000000042,29.41621431034483,25.689724137931236,55.106126896551714,29.408965517241526,1.027857643335189,0.15320369662048064
Low-High_Dataset,6,28,157.84400000000096,0.1773903347609021,539.7060000000056,398.48399999999856,14.235826678571428,19.275214285714487,33.510346285714284,14.231571428571376,2.01661645414354,0.227949114315401
Low-High_Dataset,7,28,148.95300000000134,0.18797875840029907,603.1260000000093,204.39300000001276,7.303832392857141,21.54021428571462,28.845949821428572,7.299750000000456,0.31368072343093867,0.2699401824736679
Low-High_Dataset,8,29,83.90600000000086,0.3456248659213847,524.9970000000085,242.94800000000396,8.387080586206896,18.1033448275865,26.491597620689657,8.377517241379447,1.7167793339771258,0.41713107525087845
Low-High_Dataset,9,29,71.34300000000076,0.40648697139172296,573.2900000000009,232.10399999999936,8.008399103448276,19.7686206896552,27.77785544827586,8.00358620689653,1.4319663695511733,0.5357124501819798
Low-High_Dataset,10,27,276.0159999999996,0.09782041620775621,537.9020000000019,547.0110000000004,20.267066407407405,19.922296296296366,40.190415333333334,20.259666666666682,1.3270298307126631,0.12992048770119669
Random_Simple_Dataset,1,47,449.40699999999924,0.10458226062344396,628.1779999999999,1118.733999999995,23.80763446808511,13.365489361702124,37.17411831914894,23.802851063829678,1.6077481223474839,0.09318620611902662
Random_Simple_Dataset,2,33,149.6869999999999,0.22046002658881547,542.7440000000006,279.3180000000066,8.471501424242422,16.446787878787898,24.919500666666668,8.464181818182018,1.2693995695945148,0.24172395287054585
Random_Simple_Dataset,4,5,105.04699999999866,0.04759774196312187,38.28100000000086,445.502999999997,4.8984364,7.6562000000001715,12.555988,89.10059999999939,0.0,0.02429452213453746
Random_Simple_Dataset,5,49,217.89099999999962,0.2248830837437071,881.765999999996,980.8909999999923,20.022807183673468,17.995224489795838,38.01945534693878,20.01818367346923,1.5066400836503104,0.2697881050617044
Random_Simple_Dataset,6,48,204.53099999999904,0.23468325094973488,690.3709999999937,787.2259999999696,16.40077554166667,14.382729166666536,30.781932,16.400541666666033,1.0403971198094957,0.2250257092241916
Random_Simple_Dataset,7,47,170.98499999999876,0.27487791326724764,705.0659999999934,748.8030000000072,15.963808680851063,15.00140425531901,30.966046404255327,15.931978723404407,1.9921085401933973,0.2749036465186999
Random_Simple_Dataset,8,47,196.67200000000048,0.23897657012691123,758.7179999999935,956.0800000000072,20.3530014893617,16.14293617021263,36.49513442553191,20.342127659574622,1.6613445311696862,0.25718556784900465
Random_Simple_Dataset,9,48,195.4380000000001,0.245602185859454,802.8140000000076,850.3050000000239,17.725122708333334,16.725291666666823,34.4502828125,17.714687500000498,1.6882914348778173,0.2738512128313522
Random_Simple_Dataset,10,47,230.0619999999999,0.20429275586581017,783.9649999999929,962.2299999999741,20.476324914893617,16.680106382978572,37.15738457446808,20.472978723403703,1.65807402116165,0.22717499340757222
Stratified_Random_Dataset,1,249,218.09400000000096,1.1417095380890758,635.0780000000032,12152.741000000062,48.80814086345381,2.5505140562249125,51.358430477911654,48.80618875502033,0.6551321255026872,0.19412974833481597
Stratified_Random_Dataset,2,250,57.75,4.329004329004329,567.7299999999977,5140.633000000029,20.573188296,2.270919999999991,22.844147832,20.562532000000115,1.1539217585824324,0.6553881673881647
Stratified_Random_Dataset,3,249,69.32799999999952,3.591622432494832,646.297999999988,6356.030999999839,25.5297500562249,2.5955742971887066,28.12527163453815,25.526228915662003,1.565271747707717,0.6214881913993311
Stratified_Random_Dataset,4,246,347.7500000000018,0.7074047447879187,821.781999999992,13095.184999999865,53.24167919918699,3.340577235772325,56.582429146341454,53.23245934959294,0.22055971048282258,0.1575426791277235
Stratified_Random_Dataset,5,248,244.46900000000096,1.0144435490798385,628.1630000000187,11455.210000000414,46.19574012500001,2.5329153225807204,48.72895878225807,46.190362903227474,0.47886297027992913,0.17129997395716598
Stratified_Random_Dataset,6,249,150.0,1.66,625.3399999999965,7769.919999999951,31.211814281124497,2.5114056224899457,33.72356263052209,31.204497991967674,0.6698436050788715,0.27792888888888734
Stratified_Random_Dataset,7,247,324.5149999999994,0.7611358488821793,677.1969999999747,10247.28899999975,41.492377647773274,2.741688259109209,44.23413325506072,41.486999999998986,0.7280894628889616,0.13911981469782617
Stratified_Random_Dataset,8,249,195.9529999999977,1.2707128750261691,652.9029999999802,9681.161999999735,38.883600473895584,2.6221004016063465,41.505601835341366,38.88016867469773,0.6307460679457585,0.2221291159954982
