index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-1-0,vm2,0.0,10.139999999999418,10.150033,0.0
1,task-1-1,vm4,0.001006,0.5310000000008586,0.52878,0.0
2,task-1-2,vm4,0.001006,0.875,0.882089,0.0
3,task-1-3,vm3,0.002005,9.718000000000757,9.726732,0.0
4,task-1-4,vm4,0.002005,0.43699999999989814,0.44019,0.0
5,task-1-5,vm4,0.003004,1.125,1.130701,0.0
6,task-1-6,vm4,0.003004,1.5,1.501418,0.0
7,task-10-7,vm2,0.004002,32.63999999999942,32.641463,0.0
8,task-1-8,vm4,0.004002,1.6710000000002765,1.676726,0.0
9,task-1-9,vm3,0.005282,9.984000000000378,9.982506,0.0
10,task-1-10,vm4,0.005282,1.2810000000008586,1.28039,0.0
11,task-1-11,vm4,0.006279,0.9840000000003783,0.994712,0.0
21,task-1-21,vm3,0.006279,9.734000000000378,9.74513,0.0
22,task-1-22,vm3,0.007281,9.75,9.756121,0.0
115,task-1-115,vm1,0.008278,47.54600000000028,47.556772,0.0
12,task-1-12,vm4,0.441641,0.8440000000009604,1.28239,0.43699999999989814
13,task-1-13,vm4,0.530078,0.75,1.285409,0.5310000000008586
14,task-1-14,vm4,0.883085,0.5779999999995198,1.457961,0.875
15,task-1-15,vm4,0.994712,0.7189999999991414,1.701958,0.9840000000003783
16,task-1-16,vm4,1.130701,0.40600000000085856,1.541942,1.125
17,task-1-17,vm4,1.28139,0.8119999999998981,2.103674,1.2810000000008586
18,task-1-18,vm4,1.283894,0.5309999999990396,1.817209,1.2810000000008586
19,task-1-19,vm4,1.286412,0.6719999999986612,1.957993,1.2810000000008586
20,task-1-20,vm4,1.458467,0.9530000000013388,2.407597,1.4529999999995198
23,task-1-23,vm4,1.501418,0.9840000000003783,2.489518,1.5
24,task-1-24,vm4,1.541942,1.0939999999991414,2.633168,1.5310000000008586
25,task-1-25,vm4,1.676726,1.1569999999992433,2.837269,1.6710000000002765
27,task-4-27,vm4,1.701958,2.2810000000008586,3.991426,1.7029999999995198
28,task-1-28,vm4,1.817209,2.17200000000048,3.992952,1.8119999999998981
29,task-1-29,vm4,1.957993,2.0310000000008586,3.994311,1.9529999999995198
30,task-1-30,vm4,2.104821,1.984999999998763,4.086334,2.0930000000007567
31,task-1-31,vm4,2.407597,1.9529999999995198,4.357329,2.4060000000008586
32,task-1-32,vm4,2.489518,1.9529999999995198,4.448741,2.4840000000003783
33,task-1-33,vm4,2.633168,1.8590000000003783,4.485865,2.625
34,task-6-34,vm4,2.838271,3.92200000000048,6.750406,2.82799999999952
35,task-1-35,vm4,3.992952,4.218999999999141,8.207745,3.9840000000003783
36,task-5-36,vm4,3.992952,4.125,8.112296,3.9840000000003783
37,task-1-37,vm4,3.994311,2.79700000000048,6.780481,3.9840000000003783
39,task-1-39,vm4,4.086334,4.436999999999898,8.520635,4.07799999999952
40,task-1-40,vm4,4.357329,4.015999999999622,8.381957,4.359000000000378
41,task-1-41,vm4,4.449719,4.093000000000757,8.553572,4.436999999999898
42,task-1-42,vm4,4.496192,4.40599999999904,8.892673,4.484000000000378
43,task-1-43,vm4,6.750406,2.264999999999418,9.015326,6.75
44,task-1-44,vm4,6.780481,2.3439999999991414,9.127039,6.781000000000859
45,task-1-45,vm4,8.113372,2.0309999999990396,10.140503,8.109000000000378
47,task-5-47,vm4,8.207745,3.67200000000048,11.872937,8.20299999999952
48,task-1-48,vm4,8.381957,8.921000000000276,17.307759,8.375
49,task-1-49,vm4,8.520635,3.3910000000014406,11.90766,8.514999999999418
50,task-1-50,vm4,8.554573,3.360000000000582,11.910008,8.546000000000276
52,task-1-52,vm4,8.893673,3.0940000000009604,11.983866,8.889999999999418
53,task-1-53,vm4,9.015326,2.9060000000008586,11.925745,9.014999999999418
55,task-1-55,vm4,9.127039,2.7960000000002765,11.924745,9.125
26,task-8-26,vm3,9.726732,7.906999999999243,17.626545,9.718000000000757
38,task-1-38,vm3,9.74513,8.0,17.734656,9.734000000000378
46,task-1-46,vm3,9.756121,8.546000000000276,18.302432,9.75
51,task-1-51,vm3,9.982506,8.061999999999898,18.044315,9.984000000000378
56,task-9-56,vm4,10.14133,7.203000000001339,17.354889,10.139999999999418
58,task-1-58,vm2,10.150033,23.03100000000086,33.170456,10.139999999999418
57,task-1-57,vm4,11.873934,5.609000000000378,17.494536,11.875
59,task-1-59,vm4,11.90766,5.718999999999141,17.622979,11.906000000000859
60,task-1-60,vm4,11.910008,5.718999999999141,17.625547,11.906000000000859
63,task-1-63,vm4,11.924745,5.7039999999997235,17.629857,11.921000000000276
64,task-1-64,vm4,11.925745,5.7039999999997235,17.625547,11.921000000000276
65,task-1-65,vm4,11.983866,5.734000000000378,17.720168,11.984000000000378
66,task-1-66,vm4,17.308758,3.54700000000048,20.847458,17.296000000000276
67,task-2-67,vm4,17.356006,3.125,20.488711,17.35900000000038
70,task-1-70,vm4,17.494536,1.5939999999991414,19.076812,17.48400000000038
71,task-1-71,vm4,17.624535,1.5779999999995198,19.201584,17.625
72,task-1-72,vm4,17.626545,1.5779999999995198,19.205232,17.625
54,task-1-54,vm3,17.627738,1.5779999999995198,19.201584,17.625
74,task-1-74,vm4,17.627738,1.5619999999998981,19.197111,17.625
75,task-1-75,vm4,17.629857,1.5779999999995198,19.206847,17.625
76,task-1-76,vm4,17.720168,1.484999999998763,19.208975,17.718000000000757
68,task-1-68,vm3,17.734656,1.4689999999991414,19.203637,17.73400000000038
69,task-1-69,vm3,18.044828,1.4220000000004802,19.476063,18.046000000000276
73,task-2-73,vm3,18.302432,1.5939999999991414,19.89082,18.296000000000276
78,task-2-78,vm4,19.076812,0.6400000000012369,19.718513,19.07799999999952
79,task-1-79,vm4,19.201584,0.5150000000012369,19.721687,19.20299999999952
80,task-1-80,vm3,19.201584,1.3119999999998981,20.52121,19.20299999999952
81,task-1-81,vm4,19.203637,0.5780000000013388,19.783583,19.20299999999952
83,task-1-83,vm3,19.205232,1.875,21.086763,19.20299999999952
82,task-1-82,vm4,19.207411,0.6560000000008586,19.862017,19.20299999999952
84,task-1-84,vm4,19.207411,0.8119999999998981,20.021935,19.20299999999952
85,task-1-85,vm4,19.210018,1.2970000000004802,20.509669,19.20299999999952
104,task-1-104,vm3,19.476577,3.1719999999986612,22.651608,19.468000000000757
86,task-1-86,vm4,19.720523,2.5939999999991414,22.321233,19.718000000000757
87,task-1-87,vm4,19.722235,1.2029999999995198,20.928942,19.718000000000757
88,task-1-88,vm4,19.783583,2.5309999999990396,22.322234,19.78100000000086
89,task-1-89,vm4,19.862017,1.3279999999995198,21.188917,19.85900000000038
108,task-1-108,vm3,19.891463,1.2970000000004802,21.190112,19.889999999999418
90,task-1-90,vm4,20.021935,1.1720000000004802,21.191114,20.014999999999418
91,task-3-91,vm4,20.488711,2.17200000000048,22.657162,20.48400000000038
92,task-1-92,vm4,20.510668,1.4210000000002765,21.920328,20.5
113,task-1-113,vm3,20.52121,1.4060000000008586,21.919803,20.514999999999418
93,task-1-93,vm4,20.848828,1.0779999999995198,21.919803,20.843000000000757
94,task-4-94,vm4,20.928942,2.7659999999996217,23.687725,20.921000000000276
116,task-1-116,vm3,21.086763,1.2030000000013388,22.277787,21.07799999999952
95,task-2-95,vm4,21.190112,2.8909999999996217,24.08484,21.186999999999898
122,task-1-122,vm3,21.191114,1.2340000000003783,22.42404,21.186999999999898
96,task-1-96,vm4,21.192179,2.6560000000008586,23.845343,21.186999999999898
97,task-3-97,vm4,21.920328,2.5319999999992433,24.455859,21.921000000000276
130,task-1-130,vm3,21.920858,1.0630000000001019,22.98217,21.921000000000276
98,task-1-98,vm4,21.921944,2.6569999999992433,24.588312,21.921000000000276
131,task-1-131,vm3,22.277787,1.2189999999991414,23.497074,22.28100000000086
99,task-1-99,vm4,22.322234,2.3909999999996217,24.702956,22.311999999999898
100,task-1-100,vm4,22.322234,2.313000000000102,24.623208,22.311999999999898
132,task-1-132,vm3,22.424632,1.25,23.680176,22.421000000000276
