dataset,iteration,total_tasks,makespan,throughput,total_cpu_time,total_wait_time,avg_start_time,avg_exec_time,avg_finish_time,avg_wait_time,imbalance_degree,resource_utilization
Low-High_Dataset,1,26,197.54699999999866,0.13161424876105524,384.88899999998466,762.6759999999995,29.339194115384615,14.803423076922487,44.14355903846153,29.33369230769229,1.6857119844942363,0.12988942715741478
Low-High_Dataset,2,26,245.20300000000134,0.10603459174642993,471.3620000000119,885.1110000000044,34.0446383076923,18.12930769230815,52.17380296153846,34.04273076923094,1.0114264620397801,0.12815558265328708
Low-High_Dataset,3,26,205.92199999999866,0.12626139994755378,405.2959999999948,810.6549999999916,31.183394000000003,15.588307692307493,46.77105923076923,31.179038461538138,1.7533457028936645,0.13121343680293104
Low-High_Dataset,4,26,243.71900000000096,0.10668023420414452,454.73299999999654,812.073999999986,31.25930680769231,17.489730769230636,48.7485786153846,31.233615384614843,1.160302859040394,0.12438723830859713
Low-High_Dataset,5,26,242.59400000000096,0.10717495074074337,458.2830000000067,929.5800000000127,35.754955,17.626269230769488,53.37837680769231,35.75307692307741,1.1547275373514112,0.12593963577005338
Low-High_Dataset,6,26,289.20300000000134,0.08990224859354806,452.5270000000055,944.5110000000022,36.33267811538462,17.404884615384827,53.73934603846154,36.32734615384624,1.1750547481144762,0.10431588422895645
Low-High_Dataset,7,26,223.0,0.11659192825112108,399.12599999997474,776.6539999999804,29.878183346153847,15.35099999999903,45.22773861538462,29.87130769230694,1.6492335753622172,0.11932017937218976
Low-High_Dataset,8,26,318.65599999999904,0.0815926892950394,420.9509999999791,1154.791999999983,44.41925084615385,16.190423076922272,60.61012011538462,44.41507692307627,1.3522904090975447,0.08806801064470367
Low-High_Dataset,9,24,309.54699999999866,0.07753265255357056,449.494999999999,613.3700000000063,25.562195250000002,18.728958333333292,44.293492875,25.557083333333594,1.099011112470664,0.09680705460990865
Low-High_Dataset,10,13,197.0470000000023,0.06597410770019259,287.859000000004,841.3929999999818,43.67693946153846,22.14300000000031,65.82009123076924,64.72253846153707,1.8726668264670805,0.09739097778702566
Random_Simple_Dataset,1,42,548.5620000000017,0.07656381594058624,614.655000000017,2341.46000000005,55.75588385714286,14.634642857143263,70.38946873809525,55.74904761904881,0.4315461519063072,0.07469894013803546
Random_Simple_Dataset,2,42,546.2029999999977,0.07689448794678934,585.8159999999953,2682.1889999999803,63.86704938095239,13.947999999999887,77.8134605952381,63.861642857142385,0.4762860693460405,0.0715016211921206
Random_Simple_Dataset,3,42,550.3439999999973,0.07631590423444283,615.907999999974,2335.6889999999585,55.6153250952381,14.664476190475572,70.27984904761905,55.61164285714187,0.406203523902975,0.07460885070670671
Random_Simple_Dataset,4,42,611.4530000000013,0.06868884444102802,594.3340000000208,2442.1070000000473,58.153698214285704,14.150809523810018,72.30452385714285,58.14540476190589,0.5488092554017879,0.06480018360637362
Random_Simple_Dataset,5,43,498.53099999999904,0.08625341252600156,561.5869999999959,2719.5030000000042,63.25232344186047,13.060162790697579,76.3126086744186,63.244255813953586,0.5725844793415529,0.07509890725618494
Random_Simple_Dataset,6,43,414.75,0.10367691380349608,615.1070000000182,1973.2620000000352,45.89209158139535,14.304813953488795,60.19592134883721,45.88981395348919,0.45085489191309003,0.09887193088206038
Random_Simple_Dataset,7,42,606.3910000000033,0.0692622416889429,641.1450000000223,2455.0110000000386,58.4541065952381,15.265357142857672,73.71857402380952,58.45264285714378,0.44840402717007743,0.0704875237264426
Random_Simple_Dataset,8,44,465.8899999999994,0.09444289424542286,587.6199999999772,3415.0049999999646,77.6198400909091,13.35499999999948,90.97546479545456,77.6137499999992,0.48201899186549557,0.08408565684317154
Random_Simple_Dataset,9,46,285.78099999999904,0.16096241527603358,565.9639999999963,2449.096000000016,53.24967106521739,12.303565217391224,65.55322386956523,53.241217391304694,0.46238276639503073,0.13202743825983257
Random_Simple_Dataset,10,42,556.219000000001,0.07550982616559292,602.7170000000115,2160.1180000000313,51.438325571428585,14.350404761905034,65.78895961904762,51.4313809523817,0.36595616184709423,0.0722397712651564
Stratified_Random_Dataset,1,247,285.45300000000134,0.8652913089019868,666.3260000000228,13345.660000000287,54.037172773279366,2.697676113360416,56.73504034008097,54.031012145750154,0.9616974273853885,0.15561837967488393
